   6.0460535e-03   1.4633346e+00
  -6.1352760e-02   1.6862677e+00
  -1.1734426e-01   1.8887887e+00
  -1.6419451e-01   2.0753177e+00
  -2.0325170e-01   2.2496416e+00
  -2.3659243e-01   2.4164519e+00
  -2.7065579e-01   2.5693851e+00
  -2.9077260e-01   2.6458820e+00
  -2.4170570e-01   2.6112380e+00
  -1.9127366e-01   2.5398284e+00
  -1.0181183e-01   2.4608756e+00
   7.3213060e-04   2.4447527e+00
   6.3722684e-02   2.4852279e+00
   1.1648902e-01   2.5583478e+00
   2.0202133e-01   2.6517419e+00
   3.5536681e-01   2.7073153e+00
   5.2553626e-01   2.7437148e+00
   6.2611398e-01   2.7859177e+00
   6.3952400e-01   2.8179180e+00
   5.6622594e-01   2.8063755e+00
   4.2865871e-01   2.7063304e+00
   2.7624299e-01   2.5322992e+00
   1.4640516e-01   2.3549639e+00
   2.8715901e-02   2.2026823e+00
  -6.5931331e-02   2.0637041e+00
  -1.3190773e-01   1.9647633e+00
  -1.3423260e-01   1.9298459e+00
  -7.8689757e-02   1.9404077e+00
  -3.5250181e-03   1.9729169e+00
   5.6556889e-02   2.0353341e+00
   8.8051870e-02   2.1460053e+00
   3.2822989e-02   2.3080001e+00
  -1.2750512e-01   2.4942139e+00
  -3.3510871e-01   2.6793772e+00
  -5.1301301e-01   2.8580097e+00
  -6.3385054e-01   2.9978191e+00
  -7.0475382e-01   3.0660212e+00
  -7.6080233e-01   3.0932713e+00
  -8.1519649e-01   3.1441779e+00
  -8.8401531e-01   3.1657820e+00
  -9.4111236e-01   3.1627443e+00
  -9.4835866e-01   3.1402674e+00
  -8.8381181e-01   3.0887686e+00
  -8.0827098e-01   3.0199324e+00
  -8.0995856e-01   2.9585074e+00
  -9.0070063e-01   2.8933416e+00
  -1.0358605e+00   2.8084851e+00
  -1.1746338e+00   2.7235903e+00
  -1.2737320e+00   2.6643934e+00
  -1.3746692e+00   2.6654294e+00
  -1.5092082e+00   2.7213896e+00
  -1.6459447e+00   2.7973028e+00
  -1.7230025e+00   2.9328351e+00
  -1.7184036e+00   3.1656640e+00
  -1.6306891e+00   3.4544069e+00
  -1.4870828e+00   3.6977715e+00
  -1.3617742e+00   3.8449709e+00
  -1.2774731e+00   3.8731754e+00
  -1.2134756e+00   3.8121763e+00
  -1.1700907e+00   3.7095860e+00
  -1.1657503e+00   3.5979562e+00
  -1.2092969e+00   3.4223266e+00
  -1.2840410e+00   3.1567223e+00
